dx1,dy1,dx2,dy2,dx3,dy3,dx4,dy4,dx5,dy5,dx6,dy6,dx7,dy7,dx8,dy8,dx9,dy9,dx10,dy10,Distance,Username
14,7,-1,-8,10,17,-211,15,-387,262,-1222,630,44,-190,6,-181,-5,-9,8,-110,2593.870492,Wingus
41,46,1273,79,-170,-225,-25,-61,12,-15,-294,-10,0,0,-4,-1,0,0,-1,-1,2003.911425,Wingus
102,127,15,20,0,0,0,0,0,0,-4,0,-239,97,329,-180,146,-130,21,36,1062.011428,Wingus
430,2,12,-7,511,642,18,15,738,150,18,-149,19,-25,28,-19,114,13,0,0,2371.017567,Wingus
11,12,0,3,1,-7,-7,2,-82,87,-41,9,-448,-132,-10,181,-6,-10,-66,-6,921.4113739,Wingus
-14,-42,94,-167,69,-50,-21,-21,-5,-6,-97,-145,-217,-108,83,17,92,43,-19,-202,1164.641033,Wingus
-13,-52,187,-56,-76,28,10,75,174,-77,19,24,-39,-23,-145,-22,-44,51,20,4,906.0392509,Wingus
178,69,208,46,29,-174,4,-2,2,35,243,638,570,-822,-15,17,0,19,-32,20,2382.270392,Wingus
814,407,80,-407,-3,38,-656,523,-632,-274,-131,-32,-466,-23,872,485,480,277,368,47,5415.194561,Wingus
0,0,-369,-221,-409,341,175,279,896,-129,838,134,-710,180,-858,-220,-145,-485,-308,420,5691.10968,Zack
793,575,141,-122,23,-471,-510,253,184,384,331,15,-791,-128,-588,-212,16,-110,-106,248,4771.196382,Zack
369,26,223,312,106,67,388,-41,731,-946,-967,-11,-40,0,48,359,20,37,0,0,3875.815896,Zack
-66,-342,0,0,-42,4,-796,23,0,0,0,0,976,-75,290,-53,66,24,-66,109,2658.165899,Zack
-236,253,-524,-1562,-264,133,64,-133,0,0,-42,192,-1,0,0,0,0,0,89,27,2727.286213,Zack
-394,0,96,68,-33,-33,11,8,-60,-18,-149,123,36,75,1,0,251,148,518,141,1740.190068,Zack
-148,-196,2,-17,0,0,172,-50,108,-329,-53,33,-29,-9,-4,-1,727,223,604,-241,2295.771239,Zack
-38,5,-1283,353,-336,132,418,307,141,35,-120,310,-213,350,710,74,-163,4,69,-15,4083.547237,Zack
0,0,-336,-795,-207,-57,-225,-425,-570,229,0,0,0,0,1658,811,251,-404,114,91,4640.167844,Zack
